id,uuid,source,sourceId,name,normalizedName,brand,category,subcategory,foodType,barcode,nutritionBasis,servingUnit,servingQuantity,servingDescription,servingWeightG,servingVolumeMl,caloriesKcalPer100g,proteinGPer100g,carbohydratesGPer100g,fatGPer100g,fiberGPer100g,sugarsGPer100g,addedSugarsGPer100g,saturatedFatGPer100g,transFatGPer100g,cholesterolMgPer100g,sodiumMgPer100g,potassiumMgPer100g,calciumMgPer100g,ironMgPer100g,magnesiumMgPer100g,vitaminCMgPer100g,folateMcgPer100g,vitaminAMcgPer100g,vitaminDMcgPer100g,vitaminEMgPer100g,vitaminKMcgPer100g,carotenoidsMcgPer100g,mufaMgPer100g,pufaMgPer100g,qualityScore,needsReview,notes
965584785822097125,indian-food-d66723f2f729ee59ba20984db6ea1ae9,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0845,Afghani chicken,afghani chicken,,,,INDIAN_RECIPE,,PER_100_G,plate,1,1 plate,,,151.51,15.66,1.95,9.07,0.31,0.83,,1.24,,42.14,87.02,259.04,35.14,1.04,28.36,3.54,20.52,,,,,213.36,1920.0,1188.45,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
758041072696303557,indian-food-a851a56df381fc5e8c75edf7d942a392,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0203,Al yakhani,al yakhani,,,,INDIAN_RECIPE,,PER_100_G,bowl,1,1 bowl,,,147.54,2.86,4.65,13.14,1.27,3.56,,2.26,,4.74,206.24,198.35,103.88,0.46,18.73,5.41,60.75,,,,,57.56,2791.78,7477.29,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
275589708516378300,indian-food-3d3176137df46bc322b749ad0392db52,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0720,Almond biscuit (Badam ke biscuit),almond biscuit (badam ke biscuit),,,,INDIAN_RECIPE,,PER_100_G,biscuit,1,1 biscuit,,,407.74,6.25,52.14,19.7,1.5,22.19,,11.12,,73.79,151.76,108.03,44.05,1.11,23.88,0.03,2.28,,,,,256.91,5751.48,1207.31,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
948908133633022738,indian-food-d2b32eb85acdb12809af6d8a5dc03d62,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0905,Almond cardamom cake (Badam elaichi cake),almond cardamom cake (badam elaichi cake),,,,INDIAN_RECIPE,,PER_100_G,slice,1,1 slice,,,356.35,7.18,34.53,21.36,2.35,18.06,,8.78,,74.32,155.37,173.38,81.29,1.29,52.9,0.37,10.86,,,,,206.28,8635.24,2373.45,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
732934579583628182,indian-food-a2be81debaeb396a0aec5b46393d1e46,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0476,Almond soup (Badam ka soup),almond soup (badam ka soup),,,,INDIAN_RECIPE,,PER_100_G,bowl,1,1 bowl,,,78.65,10.13,3.68,13.8,0.91,1.94,,2.58,,28.18,8376.94,282.29,114.95,2.83,38.93,7.68,38.67,,,,,164.48,2371.07,616.89,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
552803387301890889,indian-food-7abf3c07ac30b498e94e0af94938fd72,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0805,Amaranth ladoo (Rajgira ladoo),amaranth ladoo (rajgira ladoo),,,,INDIAN_RECIPE,,PER_100_G,ladoo,1,1 ladoo,,,454.15,10.12,51.33,22.7,5.11,19.92,,9.15,,33.64,7.51,414.93,144.58,6.47,231.95,0.03,9.52,,,,,324.04,8187.25,3255.18,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
25089083928519129,indian-food-05922638f4ca1d949f4de37ef4b4464a,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0954,American frosting,american frosting,,,,INDIAN_RECIPE,,PER_100_G,,,,,,257.57,1.05,67.48,0.01,0.0,67.46,,0.0,,0.0,19.33,18.37,7.05,0.14,2.43,,,,,,,0.31,0.17,1.26,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
866001608496852659,indian-food-c04a7dfe95f2eb3d1e9db23072538b46,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0507,Appam,appam,,,,INDIAN_RECIPE,,PER_100_G,appam,1,1 appam,,,267.7,3.12,13.28,22.63,6.19,4.16,,15.31,,0.0,26.59,161.42,6.36,0.83,23.3,2.57,27.59,,,,,119.31,1345.02,375.38,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
577520130443160127,indian-food-803c37fb1b3aa3fab8da8782c6dbff91,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0788,Apple and honey sorbet (Seb aur shehad ka sharbat),apple and honey sorbet (seb aur shehad ka sharbat),,,,INDIAN_RECIPE,,PER_100_G,cup,1,1 cup,,,121.3,0.15,30.74,0.29,1.13,29.18,,0.07,,0.0,1.97,56.42,9.11,0.18,4.29,5.08,2.68,,,,,100.14,22.32,127.71,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
1086141909551263681,indian-food-f12c04fe677afc142738e2fd92256882,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0738,Apple banana pie,apple banana pie,,,,INDIAN_RECIPE,,PER_100_G,pie,1,1 pie,,,243.99,3.13,32.12,11.39,1.89,12.96,,6.22,,24.66,384.43,144.28,21.23,0.79,21.52,8.88,31.98,,,,,228.43,3027.56,1226.73,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
